0: 0.050*time, 0.050*choose, 0.050*field, 0.049*successful, 0.043*many, 0.028*consider, 0.026*engage, 0.024*world, 0.023*singer, 0.023*addition, 0.021*today, 0.020*music, 0.019*write, 0.018*famous, 0.017*excel, 0.017*creative, 0.016*career, 0.015*develop, 0.015*connect, 0.012*love, 
83: 0.106*child, 0.091*family, 0.049*mother, 0.041*parent, 0.040*live, 0.035*home, 0.028*life, 0.025*grow, 0.024*son, 0.024*wife, 0.023*brother, 0.022*father, 0.018*raise, 0.017*small, 0.016*find, 0.016*house, 0.013*husband, 0.012*yet, 0.011*educate, 0.011*manage, 
84: 0.127*grandfather, 0.095*family, 0.051*life, 0.040*age, 0.029*grandmother, 0.028*choose, 0.025*lot, 0.023*home, 0.023*raise, 0.021*late, 0.018*study, 0.017*year, 0.017*young_age, 0.015*alone, 0.014*start, 0.013*special, 0.013*never, 0.013*go, 0.011*whole, 0.011*years_old, 
85: 0.148*always, 0.088*happy, 0.052*smile, 0.048*positive, 0.047*optimistic, 0.043*friend, 0.037*love, 0.031*help, 0.029*little, 0.019*sociable, 0.017*make, 0.013*cartoon, 0.013*laugh, 0.012*funny, 0.011*joy, 0.011*good_friend, 0.010*smile_face, 0.010*convey, 0.010*spongebob, 0.009*fun, 
86: 0.216*good, 0.118*thing, 0.076*see, 0.070*even, 0.036*say, 0.034*bad, 0.032*evil, 0.028*less, 0.024*look, 0.021*mean, 0.020*seem, 0.018*sometimes, 0.017*hurt, 0.016*different, 0.011*negative, 0.009*harm, 0.008*focus, 0.007*knows_stand, 0.007*principle, 0.007*knows_distinguish, 
87: 0.063*movie, 0.055*see, 0.042*film, 0.039*child, 0.031*main, 0.030*positive, 0.030*boy, 0.028*imaginary, 0.028*choose, 0.025*try, 0.024*show, 0.019*call, 0.018*beautiful, 0.018*young, 0.017*play, 0.014*series, 0.014*grow, 0.014*appearance, 0.014*watch, 0.012*peter_pan, 
88: 0.106*world, 0.068*man, 0.043*come, 0.034*start, 0.034*today, 0.032*bear, 0.028*build, 0.028*thank, 0.025*age, 0.025*make, 0.023*day, 0.022*become, 0.020*perseverance, 0.020*successful, 0.018*old, 0.018*get, 0.016*reach, 0.016*bring, 0.012*background, 0.012*tree, 
89: 0.059*sensitive, 0.051*care, 0.049*responsible, 0.045*smart, 0.039*caring, 0.036*considerate, 0.034*professional, 0.033*charismatic, 0.030*assertive, 0.029*attentive, 0.027*sociable, 0.026*ambitious, 0.026*intelligent, 0.025*creative, 0.021*funny, 0.018*independent, 0.017*sensitive_environment, 0.017*describe, 0.016*patient, 0.015*optimistic, 
90: 0.241*quality, 0.125*think, 0.121*positive, 0.084*opinion, 0.055*important, 0.050*human, 0.016*good, 0.014*would_like, 0.012*combination, 0.011*first_foremost, 0.011*exist, 0.010*value, 0.009*basic, 0.008*way, 0.008*addition, 0.008*key, 0.007*humane, 0.007*society, 0.007*seem_positive, 0.006*progress, 
91: 0.112*girl, 0.067*choose, 0.038*go, 0.037*want, 0.026*family, 0.026*mulan, 0.025*father, 0.022*place, 0.021*fight, 0.020*decide, 0.017*come, 0.016*protect, 0.016*little, 0.016*instead, 0.015*sacrifice, 0.015*movie, 0.014*brave, 0.014*war, 0.013*game, 0.013*grow, 
92: 0.216*take, 0.095*lot, 0.070*choose, 0.055*example, 0.036*thing, 0.029*step, 0.029*admire, 0.025*seriously, 0.022*remember, 0.020*task, 0.016*matter, 0.015*risk, 0.013*eye, 0.013*situation, 0.012*call, 0.011*general, 0.011*personal, 0.011*immediately, 0.010*much, 0.010*draw, 
93: 0.194*believe, 0.106*way, 0.086*go, 0.058*think, 0.052*thing, 0.048*right, 0.042*end, 0.024*really, 0.023*feel, 0.020*happen, 0.019*do, 0.018*seem, 0.016*sweep, 0.016*mean, 0.012*like, 0.012*norm, 0.011*afraid_go, 0.009*lot, 0.008*truth, 0.007*impossible, 
94: 0.103*great, 0.051*show, 0.050*courage, 0.050*power, 0.041*determination, 0.040*faith, 0.036*strength, 0.033*full, 0.029*responsibility, 0.028*action, 0.022*composure, 0.020*choose, 0.019*humility, 0.019*devotion, 0.019*creativity, 0.017*act, 0.016*endless, 0.016*victory, 0.014*significant_figure, 0.014*leadership, 
95: 0.155*way, 0.135*good, 0.113*life, 0.070*think, 0.054*influence, 0.026*one, 0.023*reason, 0.023*ideal, 0.019*understand, 0.018*succeed, 0.018*deed, 0.016*present, 0.014*able, 0.013*especially, 0.012*explain, 0.010*future, 0.009*strive, 0.008*admire, 0.008*comfortable, 0.008*try, 
96: 0.094*trait, 0.048*modesty, 0.044*personal, 0.034*great, 0.033*maintain, 0.028*strong, 0.027*professionalism, 0.025*humanity, 0.021*concern, 0.020*willpower, 0.019*wisdom, 0.018*understanding, 0.017*perseverance, 0.014*resilience, 0.014*connection, 0.014*deep, 0.014*listening, 0.014*pursuit, 0.013*thinking, 0.013*prominent, 
97: 0.192*man, 0.079*great, 0.064*humble, 0.048*leader, 0.034*warrior, 0.027*hand, 0.027*wise, 0.023*king_david, 0.021*brave, 0.019*simple, 0.018*history, 0.017*rule, 0.016*become, 0.016*afraid, 0.014*kingdom, 0.013*accord, 0.013*virtue, 0.013*king, 0.011*hero, 0.011*rise, 
98: 0.125*go, 0.118*end, 0.055*give, 0.049*dream, 0.047*want, 0.038*decide, 0.036*tell, 0.035*succeed, 0.033*follow, 0.031*even, 0.030*head, 0.027*belief, 0.026*bring, 0.025*make, 0.024*change, 0.014*thought, 0.012*road, 0.012*heart, 0.010*eventually, 0.008*journey, 
99: 0.197*value, 0.078*believe, 0.044*educate, 0.038*principle, 0.033*environment, 0.032*moral, 0.028*follow, 0.024*evil, 0.022*act, 0.019*advocate, 0.017*ideal, 0.016*emphasize, 0.015*clear, 0.014*equality, 0.013*respect, 0.012*take, 0.012*human_dignity, 0.012*social, 0.012*path, 0.011*form, 
